Identifier;Responsible partner;"Sprint (optional)
";"Competency Question /
 Natural language sentence (fact)";Answer (For Competency Questions);Status (Proposed, Accepted, Rejected, Deprecated);Comments (optional);Extracted from (provenance);"Priority 
(High, Medium, Low) (optional)";Relation with other requirements (optional);Associated ontology elements;Relation to ontology elements in other domains
md1;BVR;;A dataset has a title;;;;;;;;
md2;BVR;;A dataset has a description;;;;;;;;
md3;BVR;;A dataset has a creator (owner).;;;;;;;;
md4;BVR;;A dataset has a spatial coverage.;;;dct:spatial;;;;;
md5;BVR;;A dataset has an issuance date (first ingested at).;;;dct:issued;;;;;
md6;BVR;;A dataset has a modification date (last ingested at).;;;dct:modified;;;;;
md7;BVR;;A dataset has a theme (domain).;;;dcat:theme;;;;;
md8;BVR;;A dataset distribution has a media type.;;;dcat:mediaType;;;;;
md9;BVR;;A dataset could contain personal data.;;;gdpr:personalData;;;;;
md10;BVR;;A dataset indicates whether it contains personal data.;;;;;;;;
md11;BVR;;A dataset indicates whether it contains special category personal data.;;;gdpr:specialCategoryData;;;;;
md12;BVR;;A dataset could have a retention period.;;;gdpr:retentionClass (can't find);;;;;
;;;A dataset could be pseudonymised;;;Do we need to model the transformation or is just a flag?;;;;;
md13;BVR;;A dataset could a data subject count indicating the total number of individuals for which data is collected.;;;gdpr:dataSubjectCount;;;;;
md14;BVR;;A dataset entity could be derived from another entity.;;;prov:wasDerivedFrom;;;;;
md15;BVR;;A provenance activity has a start time.;;;prov:startedAtTime;;;;;
md16;BVR;;A provenance activity has an end time.;;;prov:endedAtTime;;;;;
md17;BVR;;A dataset entity has a schema name.;;;schema:name (needed?);;;;;
